"Subscription","NicName","ResourceGroup","PrivateIP","PublicIP","LinkedVM","LinkedResource"
"skz-npd-bia-sub","dvuw-edw2-adf-pe-001.nic.b5816386-9aab-4cde-a5a1-fc46d3b639e7","dvuw-sfedw2-rg","172.20.17.7","None","","dvuw-edw2-adf-pe-001"
"skz-npd-bia-sub","dvuw-edw2kv-pe-001-nic","dvuw-sfedw2-rg","172.20.17.5","None","","dvuw-edw2kv-pe-001"
"skz-npd-bia-sub","dvuw-edw2sa001-pe-001.nic.5f85aa1e-a7cd-47b1-8b36-fef7db72a87e","dvuw-sfedw2-rg","172.20.17.4","None","","dvuw-edw2sa001-pe-001"
"skz-npd-bia-sub","dvuw-edw2sa001-pe-002.nic.dce28718-20a5-4e0a-95b5-d037e5772b9f","dvuw-sfedw2-rg","172.20.17.6","None","","dvuw-edw2sa001-pe-002"
"skz-npd-bia-sub","dvuw-edw2sa002-mpe-001-nic","dvuw-sfedw2-rg","172.20.16.4","None","","dvuw-edw2sa002-mpe-001"
"skz-npd-bia-sub","dvuw-edw2sa003-nnn-pe-001-nic","dvuw-sfedw2-rg","172.20.17.9","None","","dvuw-edw2sa003-nnn-pe-001"
"skz-npd-bia-sub","dvuw-edw2sa003-pe-001.nic.906325d8-668c-446c-a01c-9b4bc42f1e3d","dvuw-sfedw2-rg","172.20.17.8","None","","dvuw-edw2sa003-pe-001"
"skz-npd-bia-sub","dvuw-edw2sa03-pe-002-nic","dvuw-sfedw2-rg","172.20.16.5","None","","dvuw-edw2sa03-pe-002"
"skz-npd-bia-sub","dvuw-sfedw2-lapp-pe-001-nic","dvuw-sfedw2-rg","172.20.17.11","None","","dvuw-sfedw2-lapp-pe-001"
"skz-npd-bia-sub","dvuw-sfedw2-sf-pe-001-nic","dvuw-sfedw2-rg","172.20.17.10","None","","dvuw-sfedw2-sf-pe-001"
"skz-npd-bia-sub","qauw-edw2-adf-pe-001-nic","qauw-sfedw2-rg","172.20.32.4","None","","qauw-edw2-adf-pe-001"
"skz-npd-bia-sub","qauw-edw2kv-pe-001-nic","qauw-sfedw2-rg","172.20.33.4","None","","qauw-edw2kv-pe-001"
"skz-npd-bia-sub","qauw-edw2sa001-pe-001.nic.459fd027-3e44-421a-b128-61eedb3d8dc8","qauw-sfedw2-rg","172.20.33.5","None","","qauw-edw2sa001-pe-001"
"skz-npd-bia-sub","qauw-edw2sa002-pe-001.nic.527e91d2-159c-4140-9185-33d7a7ca729e","qauw-sfedw2-rg","172.20.33.6","None","","qauw-edw2sa002-pe-001"
"skz-npd-bia-sub","qauw-edw2sa003-pe-001.nic.2ecfd6cb-b666-43b7-85e7-00a5035319c0","qauw-sfedw2-rg","172.20.33.7","None","","qauw-edw2sa003-pe-001"
"skz-npd-bia-sub","qauw-sfedw2-sf-pe-001-nic","qauw-sfedw2-rg","172.20.32.5","None","","qauw-sfedw2-sf-pe-001"
"skz-prd-bia-sub","prduw-hub-kv-pe.nic.f81a1fee-5aae-4712-8c7b-133241dfb8ac","prduw-hubnetwork-rg","172.20.2.4","None","","prduw-hub-kv-pe"
"skz-prd-bia-sub","prduw-jumpbox-02358","prduw-jumpbox-rg","172.20.1.5","None","prduw-jumpbox02",""
"skz-prd-bia-sub","prduw-jumpbox-09358","prduw-jumpbox-rg","172.20.1.4","None","prduw-jumpbox01",""
